Date,Open,High,Low,Close,Volume
2015-09-03,36.8757,37.4179,36.8402,37.0051,5633642.2600889
2015-09-04,36.4264,36.6062,36.2102,36.2714,8426004.6468804
2015-09-08,36.9242,37.2115,36.7267,37.1779,7622356.6092266
2015-09-09,37.4012,37.7201,36.8323,36.8905,7923199.9613302
2015-09-10,36.6851,37.2293,36.6851,36.9785,6345783.1663553
2015-09-11,36.6546,36.941,36.5973,36.9242,3361475.2376844
2015-09-14,36.8757,36.8856,36.3997,36.4896,3875520.9809828
2015-09-15,36.5548,36.8599,36.4708,36.7523,4129531.8243218
2015-09-16,36.7888,37.3162,36.7434,37.2767,5058734.2039449
2015-09-17,37.2115,37.726,37.0327,37.1078,10593965.312132
2015-09-18,36.5064,36.7306,36.2032,36.3168,8263621.4363137
2015-09-21,36.5825,36.7306,36.3168,36.4472,6937467.2430123
2015-09-22,35.902,35.9356,35.4577,35.7687,7603157.3970019
2015-09-23,35.8221,35.8398,34.954,35.0073,7987518.3348994
2015-09-24,34.7021,35.0261,34.2281,34.9125,10715831.704159
2015-09-25,35.2424,35.2424,34.6588,34.8661,8435912.088463
2015-09-28,34.7121,34.7219,33.6959,33.7837,14229057.677285
2015-09-29,33.9487,34.2203,33.6791,33.9141,15532249.774785
2015-09-30,34.3308,34.6963,34.1748,34.6222,8822373.1933519
2015-10-01,34.7644,35.0162,34.3131,35.0162,11083016.637955
2015-10-02,34.4227,35.8754,34.4227,35.8754,26676255.30267
2015-10-05,36.2565,36.8214,35.9445,36.8116,16039393.522803
2015-10-06,37.0387,37.574,36.9933,37.2856,16229189.279473
2015-10-07,37.3932,37.8959,37.1927,37.7823,18369509.559868
2015-10-08,37.6273,38.4232,37.6273,38.3106,16134882.26297
2015-10-09,38.6228,38.6504,38.1546,38.2909,10464476.954368
2015-10-12,38.3749,38.3749,37.7823,37.965,8546379.454539
2015-10-13,37.6964,38.0943,37.5305,37.8189,9988321.3019452
2015-10-14,37.8682,38.3196,37.7448,38.121,7716376.0425933
2015-10-15,38.1546,38.4143,37.728,38.2257,5276338.4398412
2015-10-16,38.4331,38.5032,37.9709,38.2435,8347716.2136144
2015-10-19,37.9798,38.128,37.7823,37.9709,4502114.005015
2015-10-20,37.9325,38.365,37.8604,38.0322,4391701.3202396
2015-10-21,38.0322,38.1546,37.6273,37.6964,6360080.3012393
2015-10-22,38.1457,38.763,38.0519,38.7274,8368927.4951792
2015-10-23,39.0918,39.2054,38.8399,39.0503,7501472.4553787
2015-10-26,38.9861,39.1006,38.7185,38.7274,4605338.1239895
